raw_address,instruction_address,thumb,size_bytes,mangled_symbol,demangled_symbol,ownership,subsystem,confidence,evidence_ids,direct_call_count,direct_calls_json,numeric_constant_count,numeric_constants_json,string_xref_count,string_xrefs_json,review_state
"0x0014187d","0x0014187c","1","628","_ZN10AboutLayer7onEnterEv","AboutLayer::onEnter()","app","presentation","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","31","[{""siteAddress"":""0x00141886"",""targetAddress"":""0x001b75de"",""targetSymbol"":""cocos2d::CCLayer::onEnter()""},{""siteAddress"":""0x0014188c"",""targetAddress"":""0x001d163a"",""targetSymbol"":""cocos2d::CCSprite::create(char const*)""},{""siteAddress"":""0x00141898"",""targetAddress"":""0x00165728"",""targetSymbol"":""VisibleRect::center()""},{""siteAddress"":""0x001418b0"",""targetAddress"":""0x001aa3ec"",""targetSymbol"":""cocos2d::CCDirector::sharedDirector()""},{""siteAddress"":""0x001418ba"",""targetAddress"":""0x001aab70"",""targetSymbol"":""cocos2d::CCDirector::getWinSize()""},{""siteAddress"":""0x001418d8"",""targetAddress"":""0x001be272"",""targetSymbol"":""cocos2d::CCMenuItemImage::create(char const*, char const*, cocos2d::CCObject*, void (cocos2d::CCObject::*)(cocos2d::CCObject*))""},{""siteAddress"":""0x001418e6"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x001418f0"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x00141916"",""targetAddress"":""0x001be272"",""targetSymbol"":""cocos2d::CCMenuItemImage::create(char const*, char const*, cocos2d::CCObject*, void (cocos2d::CCObject::*)(cocos2d::CCObject*))""},{""siteAddress"":""0x00141922"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x0014192c"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x0014193a"",""targetAddress"":""0x00163c44"",""targetSymbol"":""Settings::RefreshNetworkConnection()""},{""siteAddress"":""0x0014193e"",""targetAddress"":""0x00163c44"",""targetSymbol"":""Settings::RefreshNetworkConnection()""},{""siteAddress"":""0x0014195c"",""targetAddress"":""0x0019f75c"",""targetSymbol"":""cocos2d::CCScaleTo::create(float, float, float)""},{""siteAddress"":""0x00141970"",""targetAddress"":""0x0019ccb4"",""targetSymbol"":""cocos2d::CCCallFunc::create(cocos2d::CCObject*, void (cocos2d::CCObject::*)())""},{""siteAddress"":""0x0014197e"",""targetAddress"":""0x0019f75c"",""targetSymbol"":""cocos2d::CCScaleTo::create(float, float, float)""},{""siteAddress"":""0x0014198e"",""targetAddress"":""0x0019ccb4"",""targetSymbol"":""cocos2d::CCCallFunc::create(cocos2d::CCObject*, void (cocos2d::CCObject::*)())""},{""siteAddress"":""0x0014199c"",""targetAddress"":""0x0019eb60"",""targetSymbol"":""cocos2d::CCSequence::create(cocos2d::CCFiniteTimeAction*, ...)""},{""siteAddress"":""0x001419a0"",""targetAddress"":""0x0019ed54"",""targetSymbol"":""cocos2d::CCRepeatForever::create(cocos2d::CCActionInterval*)""},{""siteAddress"":""0x001419a8"",""targetAddress"":""0x001a52d8"",""targetSymbol"":""cocos2d::CCNode::runAction(cocos2d::CCAction*)""},{""siteAddress"":""0x001419c6"",""targetAddress"":""0x001be272"",""targetSymbol"":""cocos2d::CCMenuItemImage::create(char const*, char const*, cocos2d::CCObject*, void (cocos2d::CCObject::*)(cocos2d::CCObject*))""},{""siteAddress"":""0x001419d2"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x001419dc"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x00141a02"",""targetAddress"":""0x001be272"",""targetSymbol"":""cocos2d::CCMenuItemImage::create(char const*, char const*, cocos2d::CCObject*, void (cocos2d::CCObject::*)(cocos2d::CCObject*))""},{""siteAddress"":""0x00141a10"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x00141a1a"",""targetAddress"":""0x003a2398"",""targetSymbol"":""__aeabi_fmul""},{""siteAddress"":""0x00141a34"",""targetAddress"":""0x001bc262"",""targetSymbol"":""cocos2d::CCMenu::create(cocos2d::CCMenuItem*, ...)""},{""siteAddress"":""0x00141a56"",""targetAddress"":""0x00396070"",""targetSymbol"":""operator new(unsigned int)""},{""siteAddress"":""0x00141a5c"",""targetAddress"":""0x00147208"",""targetSymbol"":""CCGesturesLayer::CCGesturesLayer()""},{""siteAddress"":""0x00141a9c"",""targetAddress"":""0x003943fc"",""targetSymbol"":""operator delete(void*)""},{""siteAddress"":""0x00141aa0"",""targetAddress"":""0x003949a8"",""targetSymbol"":""__cxa_end_cleanup""}]","67","[""0"",""1"",""2"",""5"",""7"",""8"",""12"",""16"",""20"",""22"",""24"",""25"",""28"",""32"",""36"",""40"",""44"",""48"",""52"",""56"",""60"",""63"",""64"",""68"",""72"",""76"",""80"",""84"",""88"",""89"",""92"",""96"",""100"",""102"",""108"",""129"",""136"",""147"",""171"",""174"",""176"",""196"",""200"",""204"",""208"",""216"",""230"",""244"",""252"",""253"",""254"",""272"",""292"",""296"",""332"",""364"",""368"",""372"",""380"",""392"",""416"",""436"",""452"",""492"",""496"",""548"",""616""]","1","[{""siteAddress"":""0x00141884"",""loadSiteAddress"":""0x0014187e"",""literalAddress"":""0x00141aa4"",""targetAddress"":""0x003d0458"",""text"":""Backgrounds/aboutbackground.png""}]","auto-indexed"
"0x00141af1","0x00141af0","1","84","_ZN10AboutLayer14reviewCallbackEPN7cocos2d8CCObjectE","AboutLayer::reviewCallback(cocos2d::CCObject*)","app","presentation","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","7","[{""siteAddress"":""0x00141af4"",""targetAddress"":""0x001cccac"",""targetSymbol"":""cocos2d::JniHelper::showReviewTaskJNI()""},{""siteAddress"":""0x00141b0e"",""targetAddress"":""0x001d52cc"",""targetSymbol"":""cocos2d::CCUserDefault::sharedUserDefault()""},{""siteAddress"":""0x00141b18"",""targetAddress"":""0x001d5464"",""targetSymbol"":""cocos2d::CCUserDefault::setBoolForKey(char const*, bool)""},{""siteAddress"":""0x00141b1c"",""targetAddress"":""0x001d52cc"",""targetSymbol"":""cocos2d::CCUserDefault::sharedUserDefault()""},{""siteAddress"":""0x00141b20"",""targetAddress"":""0x001d547a"",""targetSymbol"":""cocos2d::CCUserDefault::flush()""},{""siteAddress"":""0x00141b28"",""targetAddress"":""0x00163ea4"",""targetSymbol"":""Settings::getTotalCoins()""},{""siteAddress"":""0x00141b30"",""targetAddress"":""0x00163eb4"",""targetSymbol"":""Settings::setTotalCoins(int)""}]","7","[""0"",""1"",""44"",""56"",""68"",""245"",""255""]","0","[]","auto-indexed"
"0x00141b45","0x00141b44","1","56","_ZN10AboutLayerC2Ev","AboutLayer::AboutLayer()","app","presentation","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","1","[{""siteAddress"":""0x00141b48"",""targetAddress"":""0x001b7cac"",""targetSymbol"":""cocos2d::CCLayer::CCLayer()""}]","10","[""0"",""1"",""2"",""4"",""8"",""40"",""139"",""142"",""228"",""254""]","0","[]","auto-indexed"
"0x00141b45","0x00141b44","1","56","_ZN10AboutLayerC1Ev","AboutLayer::AboutLayer()","app","presentation","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","1","[{""siteAddress"":""0x00141b48"",""targetAddress"":""0x001b7cac"",""targetSymbol"":""cocos2d::CCLayer::CCLayer()""}]","10","[""0"",""1"",""2"",""4"",""8"",""40"",""139"",""142"",""228"",""254""]","0","[]","auto-indexed"
"0x00141ced","0x00141cec","1","22","_ZN11AppDelegate30applicationWillEnterForegroundEv","AppDelegate::applicationWillEnterForeground()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","3","[{""siteAddress"":""0x00141cee"",""targetAddress"":""0x001aa3ec"",""targetSymbol"":""cocos2d::CCDirector::sharedDirector()""},{""siteAddress"":""0x00141cf8"",""targetAddress"":""0x001e6734"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::sharedEngine()""},{""siteAddress"":""0x00141cfc"",""targetAddress"":""0x001e67c0"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::resumeBackgroundMusic()""}]","2","[""0"",""40""]","0","[]","auto-indexed"
"0x00141d03","0x00141d02","1","26","_ZN11AppDelegate29applicationDidEnterBackgroundEv","AppDelegate::applicationDidEnterBackground()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","4","[{""siteAddress"":""0x00141d04"",""targetAddress"":""0x001aa3ec"",""targetSymbol"":""cocos2d::CCDirector::sharedDirector()""},{""siteAddress"":""0x00141d0e"",""targetAddress"":""0x00163094"",""targetSymbol"":""Settings::SaveData()""},{""siteAddress"":""0x00141d12"",""targetAddress"":""0x001e6734"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::sharedEngine()""},{""siteAddress"":""0x00141d16"",""targetAddress"":""0x001e67b8"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::pauseBackgroundMusic()""}]","2","[""0"",""36""]","0","[]","auto-indexed"
"0x00141d1d","0x00141d1c","1","44","_ZN11AppDelegateD2Ev","AppDelegate::~AppDelegate()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","4","[{""siteAddress"":""0x00141d2a"",""targetAddress"":""0x001e6760"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::end()""},{""siteAddress"":""0x00141d30"",""targetAddress"":""0x001ca9f0"",""targetSymbol"":""cocos2d::CCApplication::~CCApplication()""},{""siteAddress"":""0x00141d3a"",""targetAddress"":""0x001ca9f0"",""targetSymbol"":""cocos2d::CCApplication::~CCApplication()""},{""siteAddress"":""0x00141d3e"",""targetAddress"":""0x003949a8"",""targetSymbol"":""__cxa_end_cleanup""}]","3","[""0"",""8"",""36""]","0","[]","auto-indexed"
"0x00141d1d","0x00141d1c","1","44","_ZN11AppDelegateD1Ev","AppDelegate::~AppDelegate()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","4","[{""siteAddress"":""0x00141d2a"",""targetAddress"":""0x001e6760"",""targetSymbol"":""CocosDenshion::SimpleAudioEngine::end()""},{""siteAddress"":""0x00141d30"",""targetAddress"":""0x001ca9f0"",""targetSymbol"":""cocos2d::CCApplication::~CCApplication()""},{""siteAddress"":""0x00141d3a"",""targetAddress"":""0x001ca9f0"",""targetSymbol"":""cocos2d::CCApplication::~CCApplication()""},{""siteAddress"":""0x00141d3e"",""targetAddress"":""0x003949a8"",""targetSymbol"":""__cxa_end_cleanup""}]","3","[""0"",""8"",""36""]","0","[]","auto-indexed"
"0x00141d49","0x00141d48","1","18","_ZN11AppDelegateD0Ev","AppDelegate::~AppDelegate()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","2","[{""siteAddress"":""0x00141d4c"",""targetAddress"":""0x00141d1c"",""targetSymbol"":""AppDelegate::~AppDelegate()""},{""siteAddress"":""0x00141d52"",""targetAddress"":""0x003943fc"",""targetSymbol"":""operator delete(void*)""}]","1","[""0""]","0","[]","auto-indexed"
"0x00141d5d","0x00141d5c","1","28","_ZN11AppDelegateC1Ev","AppDelegate::AppDelegate()","app","platform","0.99","DER-NATIVE-001;DER-NATIVE-CORPUS-001","1","[{""siteAddress"":""0x00141d60"",""targetAddress"":""0x001caad0"",""targetSymbol"":""cocos2d::CCApplication::CCApplication()""}]","3","[""0"",""8"",""12""]","0","[]","auto-indexed"
